Word,Pronunciation
บทความ,botkʰwaːm
ปาทังกา,paːtʰaŋkaː
แด,dɛː
สถานะ,satʰaːnaʔ
เสวก,seːwok
วก,wok
กากกะรุน,kaːkkarun
คนโกหก,kʰonkoːhok
เดียวกัน,diːa̯wkan
ญ,jaʔ
คาง,kʰaːŋ
อิชิกาวะ,ʔit͡ɕʰikaːwaʔ
แรงจูงใจ,rɛːŋt͡ɕuːŋat͡ɕaj
ฆ,kʰaʔ
อดอาหาร,ɔːtʔaːhaːn
ฮอนดูรัส,hɔːnduːrat
การเปรียบเทียบ,kaːnpeːriːjbatʰiːa̯b
มงคล,moŋkʰon
โชคลาง,t͡ɕʰoːklaːŋ
เพชรตัดเพชร,pʰeːtratatpʰeːt͡ɕʰon
อร,ɔːn
นิยม,nijom
กิจการของอัครทูต,kitkaːrakʰɔːŋʔakʰontʰuːt
กระแส,krasɛː
เทิดทูน,tʰɤttʰuːn
ทอฟฟี,tʰɔːffiː
รวย,rawoj
ชิเมจิ,t͡ɕʰimeːt͡ɕiʔ
กำแพงเพชร,kampʰɛːŋpʰeːt͡ɕʰon
อิน,ʔin
การประมูล,kaːnpramuːn
บาตร,baːton
ปลดแอก,pondaʔɛːk
หูเบา,huːbeːaː
โทษ,tʰoːt
ไอจิ,ʔajt͡ɕiʔ
แซว,sɛːw
พาราเซตามอล,pʰaːraːseːtaːmɔːn
กฤดีกา,krʉdiːkaː
บอนไซ,bɔːnsaj
เลือดนก,lɯːa̯tnok
ลูกดอก,luːkdɔːk
เอกาธิปไตย,ʔeːkaːtʰiptaj
เกลือก,keːlɯːɔːk
ซองจดหมาย,sɔːŋt͡ɕadohmaːj
อันตรธาน,ʔantratʰaːn
หน,hon
ฟองมัน,fɔːŋman
สหภาพโซเวียต,sohpʰaːpʰasoːwiːa̯t
การลักลอบ,kaːnlaklɔːb
แลง,lɛːŋ
ไท,tʰaj
มุฮัมมัด,muhammat
ฟา,faː
การพัฒนา,kaːnpʰatʰanaː
เซียน,siːa̯n
เชิงเทียน,t͡ɕʰɤŋtʰiːa̯n
ราด,raːt
อุดม,ʔudom
แรม,rɛːm
เชย,t͡ɕʰeːj
สมาชิกภาพ,samaːt͡ɕʰikpʰaːp
รวน,rawon
มาตร,maːton
ผณิ,pʰaniʔ
ภาษีบาป,pʰaːsiːbaːp
แซ,sɛː
นักวิจัย,nakwit͡ɕaj
ภูมิอากาศ,pʰuːmiʔaːkaːt
หัวโจก,huːa̯t͡ɕoːk
สังคม,saŋkʰom
จวน,t͡ɕawon
